TIN,Total,Date Issued,Company & Address,Link
008-022-153-000,611.14,2026-02-16,Grabit Foods Inc. Jollibee Waltermart Makiling St0Re #959  Brgy Makiling Nat 1 Highway Calamba City,https://todo-sharepoint.com/1556d548-b279-443f-b392-376fcf23e15d.jpg
009-433-354-000,1141.00,2619-02-16,"Caltex Sierra Makiling Gas Corporation Maharlika, Highway, San Antonio, Santo Tomas, Batangas",https://todo-sharepoint.com/517de74f-4b20-48d4-8734-1c122a1d5491.jpg
000-122-954-000,"2,470.00",2026-02-06,Greenfield Develooent Geenfield Toner Corp. Reenfield District Willian Stcor. Mandaluyong City ,https://todo-sharepoint.com/61e6be3c-676c-4ff2-b7eb-27f9c4c1b1ee.jpg
006-303-000-000,"1,320.00",2026-02-21,Red Ribbon Bakeshop Operated By  Tanauan Food Merchants Inc Level 1 The Lifestyle Strip Km 60.5 Maharlika Highway San Antonio Santo Tomas Batangas,https://todo-sharepoint.com/79216066-1fd3-4b70-88b4-c7779fdbb54f.jpg
128-742-767-001,"314,00",2026-02-13,"Tapa King Operatel By  Keiser Food Service Vai Usi Mui Deck Farking, Espana Si. Bgy 470 Zone 46 Sampaloc Manila . Naye Auoress Tin",https://todo-sharepoint.com/7e428edc-0258-4efa-866f-5d0d14bd65a7.jpg
000-388-771-005,282.00,2026-02-10,Jollibee Sto Jollibee Foods Corporation Tomas Maharlika Highway Barangay Ii (Pob.) Santo Tomas Batangas,https://todo-sharepoint.com/837265d7-9044-40ab-8051-adeda5e54e99.jpg
009-450-452-000,"1,450.00",2026-01-11,"Lydia S Lechon Sun Address  One Solid Sun Bullding Bypass Road La Mesa Calamba Laguna Calamba Clty 4027 Phone 09602008633 Company Name  Metio Lechon Holdings, Inc. Table# 4",https://todo-sharepoint.com/859d6733-9c23-4888-8c9c-7389c144fcb2.jpg
000-054-207-002,387.00,2025-07-31,"Goldilocks Bakeshop, Inc. Goldilocks Bakeshop, Inc. 11 Waltermart Makiling Branch",https://todo-sharepoint.com/8e18eb2e-92af-429b-b59e-0d3bbe5e691e.jpg
273-428-725-006,500.00,2026-01-11,"Set28 Gas Station Dealer Gonzales, Teo Bosco Uy Maharlika Highway Brgy Santiago Sto Tomas City",https://todo-sharepoint.com/956ecb28-e804-44b8-bac6-85c1fb88c805.jpg
009-433-354-000,1141.00,2619-02-16,"Caltex Sierra Makiling Gas Corporation Maharlika, Highway, San Antonio, Santo Tomas, Batangas",https://todo-sharepoint.com/b3fe9ccc-7f01-4d46-bfb5-d5b11d96874e.jpg
644-507-284-000,522.57,2026-02-10, Kreate Good Foods Inc. Owned And Operated By Kreate Good Foods Inc. Fs 2 Sm City Sto Tomas Batangas,https://todo-sharepoint.com/b6b01e11-1064-437c-802f-59af51370431.jpg
174-749-309-000,"1,000.00",2025-11-17,Hiiway Shell Service Station Prodrletor Norhan R. Agojd Registered Tin Km6O 1/2 Maharlika Highway Sto.Tohas Batangas,https://todo-sharepoint.com/c7aae515-dde8-4b12-9f59-acd6cb61ac8c.jpg
